## plant trait ontology
Stem diameter (manual)	TO:0020083
Stem diameter (DIRT)	TO:0020083
Avg root density (DIRT)	TO:0000115
Median root width (DIRT)	TO:0000043
Adventitious root angle (manual)	TO:0000043
Max root width (DIRT)	TO:0000043
Basal root angle (manual)	TO:0000043
