# Trait data from LIS chado database; TO terms chosen by SH	
#primaryidentifier	TO terms
phavu.Seed weight 1-5	TO:0000269
phavu.Seed weight 1-6	TO:0000269
phavu.Seed weight 1-7	TO:0000269
phavu.Seed weight 1-8	TO:0000269
phavu.Seed weight 1-9	TO:0000269
phavu.Seed weight 2-1	TO:0000269
phavu.Seed weight 2-2	TO:0000269
phavu.Seed weight 2-3	TO:0000269
phavu.Seed weight 3-1	TO:0000269
phavu.Seed weight 3-10	TO:0000269
phavu.Seed weight 3-12	TO:0000269
phavu.Seed weight 3-13	TO:0000269
phavu.Seed weight 3-14	TO:0000269
phavu.Seed weight 3-2	TO:0000269
phavu.Seed weight 3-4	TO:0000269
phavu.Seed weight 3-5	TO:0000269
phavu.Seed weight 3-6	TO:0000269
phavu.Seed weight 3-8	TO:0000269
phavu.Seed weight 4-1	TO:0000269
phavu.Seed weight 4-5	TO:0000269
phavu.Seed weight 4-8	TO:0000269
