# this is a standard expression file, modified slightly from the McClean Lab isoforms.fpkm_tracking file from Phytozome
#
# 1. source name, PMID, geo, bioProject, sra
McClean Lab Phaseolus vulgaris Expression Data				
# 2. url
https://www.ag.ndsu.edu/plantsciences/people/faculty/mcclean
# 3. description
This is an unpublished expression atlas from the McClean lab at North Dakota State.
# 4. expression unit
FPKM
# 5. number of samples
11
# 6. Sample name and description in same order as the columns (adjusted from buggy version on site)
1	FB	Flower buds
2	YP	Young pods
3	YT	Young trifoliates
4	FL	Flowers
5	S10	Stem 10
6	N	Nodules
7	R19	Root 19
8	S19	Stem 19
9	GMP	Green mature pods
10	L	Leaves
11	R10	Root 10
# 7. expression data
#gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.010G001400	7.81671	9.17472	4.60254	10.1814	7.29128	10.3548	7.62024	8.0362	7.09252	6.0596	7.73685
Phvul.010G148800	227.026	419.682	981.257	197.714	355.689	0.0770617	0.424457	222.572	165.943	2939.97	0.732067
Phvul.010G018200	13.5789	2.0581	10.6902	3.80791	0.893068	0	0	4.07798	0.573704	2.3924	0.128412
Phvul.010G142700	43.8435	26.5593	39.4033	30.664	13.2014	3.14949	3.32097	15.5942	23.858	50.4816	2.58868
Phvul.010G151300	6.06776	11.34	12.8851	6.48445	15.2582	12.0312	14.2737	14.4888	17.4446	14.1567	14.8777
Phvul.010G157400	27.8675	17.4732	16.1236	41.5327	20.5468	8.20228	13.6235	20.3188	27.2152	19.4756	27.3096
Phvul.010G037900	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G061500	5.22151	0.432032	4.00091	6.82117	0.297813	0	0.307724	3.11671	0.0365007	0.676807	0.0794137
Phvul.010G131400	2.1878	4.32064	7.79023	3.01325	4.04212	8.88686	6.04383	4.18806	6.96844	9.04433	5.12318
Phvul.010G131400	2.29148	4.20638	3.90939	1.52128	2.89804	5.16967	2.95789	2.25836	6.16909	5.4518	2.71198
Phvul.010G058200	2.65438	2.28587	6.062	1.29253	1.31426	0	0.0824294	1.3424	1.74957	11.4727	0.144706
Phvul.010G058200	0.309762	0.0756951	0.306403	0.0821489	0	0	0	0.156453	0.442711	2.2381	0
Phvul.010G107100	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G018000	0	0.355763	0	0	0	0	0	0	0	0	0
Phvul.010G023300	0	0.0934151	0.383083	0	0.534804	0	0.21783	0.105461	0	0.174922	0.238572
Phvul.010G012300	131.888	36.4568	2.19366	28.0561	20.051	473.473	418.39	14.091	3.97817	0.223019	1.38483
Phvul.010G162300	1.04937	0.848436	4.26448	0.965095	3.68232	6.14161	7.7775	2.9427	1.93831	7.51419	5.24078
Phvul.010G092100	3.76841	0.744955	1.30646	2.42643	1.26764	0	1.31332	1.13765	13.0419	0.938114	1.01474
Phvul.010G092100	1.69208	10.7332	2.66236	1.69329	3.3847	1.8176	2.1678	5.3669	0.339143	0.234444	3.36161
Phvul.010G095200	11.8122	0	0	0.181466	0	0	0	0	0	0	0
Phvul.010G076600	1.6418	0.456435	1.21837	0.312354	0.550539	0	0.180053	0.639017	0.34158	2.72863	0.187116
Phvul.010G018500	24.8613	13.8102	11.1522	22.3221	9.67824	15.064	13.551	12.6574	11.6897	18.2513	13.9656
Phvul.010G149800	5.14476	0.0234086	2.69726	0.27154	0.131151	0.554963	0	0.308243	0	4.57633	0
Phvul.010G116200	2.22909	3.42018	4.17822	4.66504	2.51192	5.39989	10.3532	4.56218	2.18973	3.49586	10.8514
Phvul.010G116200	0.429215	0.727289	0.103449	1.28246	0.17091	0.344566	0.405381	0.581773	0.225562	0.288428	0.344308
Phvul.010G046300	28.2508	24.9166	15.3762	22.2837	19.1487	19.3968	14.1246	20.9842	22.1656	14.8613	19.5675
Phvul.010G133500	6.33048	4.28677	22.9911	4.22355	5.59082	0.465492	0.454138	3.15847	4.84953	84.2827	1.41028
Phvul.010G132000	0.679039	0.648368	0.609788	0.314596	0.0585431	1.32483	1.22573	0.418449	0.11267	0.388431	1.7777
Phvul.010G139300	7.71352	66.6411	22.1928	893.12	106.954	15.7708	43.1318	40.4506	70.2049	13.0022	140.361
Phvul.010G138600	6.72041	1.48289	1.68128	0.750425	3.79568	0	0	3.63307	0	4.93662	0.498757
Phvul.010G020400	4.50451	6.11677	3.79581	3.29674	5.40012	3.76476	4.73824	8.36253	8.31058	5.92262	3.74042
Phvul.010G092300	0	0	0	0	0	0.346579	1.25935	0	0	0	1.19503
Phvul.010G039700	1.59371	3.87688	8.0526	1.19991	4.97343	9.16034	8.36632	3.93385	9.12797	5.45183	8.13053
Phvul.010G036900	6.343	2.3803	7.44701	1.63386	36.2032	0.433809	0.208179	46.3186	0	11.717	0.0972634
Phvul.010G095400	0.329355	0	0	0.0804712	0	10.3929	41.8487	0	0	0	17.6811
Phvul.010G153500	33.4333	16.6047	17.6789	33.3863	15.8128	24.1126	13.2424	14.4605	19.056	29.7839	21.8945
Phvul.010G141400	1.73513	1.22989	3.09632	1.55251	4.53218	1.89632	1.99108	3.60325	1.25715	2.28361	3.29392
Phvul.010G150500	1.05493	0.0945698	0.0436273	0.505481	0	0.0536794	0.181462	0.0672458	0	0.293088	0
Phvul.010G075900	48.9043	31.7569	39.1224	64.3682	19.6161	13.2517	7.5939	18.1132	25.7026	59.1173	6.24181
Phvul.010G018800	0	0.0802503	0.219213	0.0419073	0.188729	0.166821	0.109458	0.051648	0.127304	0.156723	0.334225
Phvul.010G018800	0.107791	0.476069	0.686097	0.306176	0.535151	1.57387	1.21637	0.46239	0.793255	1.2519	0.833108
Phvul.010G018800	0.679304	1.33852	2.83586	0.800946	1.05771	2.16515	2.91674	1.20282	2.11878	3.39931	2.04216
Phvul.010G018800	0	0.241778	0.239571	0.0762538	0.159373	0.353266	0.272924	0.142133	0.357116	0.446355	0.470423
Phvul.010G018800	0.066512	0.541022	0.801244	0.00344101	0.640978	0.813994	1.02411	0.425071	0.958592	0.837707	1.20684
Phvul.010G018800	0	0.086942	0.364137	0.000440523	0.565309	0.179136	0.0928375	0.0444077	0.151083	0.104304	0.295737
Phvul.010G018800	0.414317	1.50452	3.62999	0.00687819	1.42811	2.07422	2.4455	1.10373	2.56405	2.29123	1.71728
Phvul.010G018800	0	0.258934	0.432782	0.000614811	0.540087	0.688003	0.230577	0.122107	0.424329	0.299508	0.234448
Phvul.010G109600	0	0.0379647	0.102862	0	0	0	0	0.0872822	0	0	0
Phvul.010G104800	0	0.41175	0	0	0	0	0	0.108508	0	0	0.183107
Phvul.010G075000	0.10061	0.841026	0	0	0	0	0	0	0.0289728	0	0.0588713
Phvul.010G115900	4.34539	2.45084	1.26779	4.75835	3.07085	6.54356	9.74967	4.21291	0.629274	0.874415	5.83218
Phvul.010G083500	0	1.17495	0	0.122713	0	0	0	0	0	0	0
Phvul.010G135600	0	0.011691	0.0320818	0.0625172	6.35797	0.0281907	0.0698305	0.448685	0	0	0.371815
Phvul.010G149500	0.175061	0.410418	0.844739	0.199458	0.41239	0.839059	0.760614	0.311641	0.0670182	0.26675	0.785664
Phvul.010G127600	23.0296	16.4213	16.525	32.7632	31.4373	21.7356	27.4636	31.456	22.001	18.3074	27.5492
Phvul.010G122000	15.3345	1.27295	0.971414	1.39214	8.16196	6.95876	14.9532	17.5858	0.845418	1.04207	45.2941
Phvul.010G047600	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G093200	1.17401	1.29504	1.08891	1.08365	0.803893	1.28321	0.952572	0.739569	0.991898	0.867143	0.751839
Phvul.010G107900	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G113200	0.200943	0	0.155797	0.12313	0	0	0	0.248891	0.0652463	0	0.143568
Phvul.010G001100	1.82788	4.50765	11.4211	4.76219	2.41504	0	0.589632	0.661643	13.168	50.0071	6.00748E-06
Phvul.010G001100	0.725802	1.50854	4.61414	0.483789	0	0.290068	0.203827	0.390436	3.6261	17.2772	0.0628465
Phvul.010G101800	29.4605	12.7068	8.76604	12.223	16.8102	33.7356	67.453	15.4651	0.0141538	0.144305	29.8771
Phvul.010G132300	0	0	0	0	0	0	0	0	0	0	0
Phvul.010G130900	5.66942	4.91539	9.25004	7.72601	6.94756	8.5865	7.47753	5.69654	6.84235	12.0469	6.83987
Phvul.010G130900	0.116172	0.609844	1.15418	0.754805	0.962558	1.71648	1.4772	1.09227	1.47687	3.27189	1.76109
Phvul.010G034000	29.362	15.8794	9.55084	20.7983	12.3954	56.4436	18.3717	15.7104	16.9316	8.09733	17.7208
Phvul.010G068900	3.00107	0.897384	6.43181	1.7872	0	0.805663	0	0.977568	0.53511	25.567	0
Phvul.010G023500	0.67606	0.638069	0.929116	0.907899	0.743361	0.918168	1.30147	0.471812	1.28052	0.714837	1.16168
Phvul.010G024100	0.783724	0.710748	0.614112	1.17448	1.45985	4.10898	2.80951	1.05291	2.32691	2.57678	1.81656
Phvul.010G070500	70.8394	44.7425	37.3922	65.6214	51.7734	44.9143	42.0813	55.8141	16.6478	40.8421	54.2031
Phvul.010G035900	54.6853	91.316	113.385	64.9008	75.3818	61.1945	79.2168	91.2049	81.5504	57.7336	106.443
Phvul.010G088400	0.133131	0.0380461	0.0523986	0.12405	3.59021	0.680227	3.06636	1.8516	0.0363848	0.256404	11.6812
Phvul.010G072400	43.6407	27.4398	24.7813	44.9953	26.2936	20.2819	28.5159	38.5161	37.3493	21.9649	32.0995
Phvul.010G072400	0.183272	0.152052	0.577513	0	0	0.197543	0.175546	0.181007	0.219181	0.375636	0
Phvul.010G074800	18.4255	4.90523	21.7085	8.28385	22.3827	18.3652	8.41877	9.84489	9.10544	10.3265	13.8312
Phvul.010G009300	0	0.120976	0	0.887544	0.227029	0	1.12544	0.401339	0.0704851	0.217236	1.5135
