TaxonId	3920
Strain	IT84S-2246-4
AlternateStrainName	TVu-14195
Description	IT84S-2246-4 has combined resistance to aphid, bruchid, thrips and several diseases. It was developed by the Grain Legume Improvement Project (GLIP) of the International Institute of Tropical Agriculture (IITA) in Ibadan, Nigeria.
URL	http://www.iita.org/cowpea
Country	Nigeria
PMID	28459003
PMID	24885083
PMID	24506004
PMID	12539843
PMID	11213169
PMID	11539355
