gene_id	flower_buds_FPKM	young_pods_FPKM	young_trifoliates_FPKM	flowers_FPKM	stem_10_FPKM	nodules_FPKM	root_19_FPKM	stem_19_FPKM	green_mature_pods_FPKM	leaves_FPKM	root_10_FPKM
Phvul.008G241700	7.402E-02	5.162E-01	2.136E+00	4.348E-01	8.154E-01	6.519E-01	3.698E-01	8.005E-01	2.934E-01	8.557E+00	3.535E-01
Phvul.008G241800	1.694E+00	2.838E+00	1.561E+00	1.811E+00	1.824E+00	3.196E+00	1.840E+00	2.146E+00	1.502E+00	1.232E+00	1.263E+00
Phvul.008G241900	3.614E-01	3.884E+00	2.621E-01	4.758E+00	7.221E-01	0.000E+00	1.561E-01	5.654E-01	7.723E-01	3.085E+00	3.234E-01
Phvul.008G242000	1.636E+01	1.553E+00	2.039E+01	4.338E+00	3.488E+00	1.356E-01	3.117E-01	3.472E+00	1.473E+00	2.120E+01	6.664E-02
Phvul.008G242100	0.000E+00	0.000E+00	1.799E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	7.499E-03	0.000E+00	0.000E+00
Phvul.008G242200	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.114E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G242300	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	1.602E-01	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
Phvul.008G242400	2.410E+01	4.335E+01	3.576E+01	1.294E+01	3.792E+01	6.577E+00	1.276E+01	4.035E+01	4.340E+01	4.179E+01	1.299E+01
Phvul.008G242500	3.887E+01	2.183E+01	2.114E+01	5.024E+01	3.259E+01	1.571E+01	1.794E+01	3.293E+01	2.269E+01	2.841E+01	2.634E+01
Phvul.008G242600	4.471E+01	3.892E+01	6.883E+00	1.279E+02	3.757E+01	2.196E+01	3.666E+01	2.370E+01	1.328E+02	7.421E+00	6.186E+01
Phvul.008G242700	1.382E+02	2.973E+00	1.445E+01	7.343E+00	3.654E+00	4.159E-01	4.522E-01	5.746E+00	6.562E-02	2.450E+01	5.759E-01
Phvul.008G242800	2.894E+00	4.232E+00	4.355E+00	4.234E+00	3.556E+00	4.558E+00	4.475E+00	2.940E+00	3.877E+00	5.257E+00	4.378E+00
Phvul.008G242900	8.902E-01	1.486E+00	1.248E+00	5.994E+00	5.696E-01	6.911E+00	6.962E+00	2.386E+00	1.476E+00	9.226E-02	1.933E+00
Phvul.008G243000	9.112E-01	6.547E+00	9.438E+00	1.381E+00	3.834E+00	2.579E+00	4.454E+00	4.746E+00	6.828E-02	7.924E-01	4.540E+00
Phvul.008G243100	4.269E+01	6.633E+01	2.750E+01	4.601E+01	4.701E+01	3.393E+01	2.489E+01	5.818E+01	3.185E+00	8.588E+00	2.153E+01
Phvul.008G243200	5.134E+01	2.833E+01	2.020E+01	4.783E+01	3.952E+01	2.962E+01	3.618E+01	4.119E+01	5.046E+01	1.632E+01	3.633E+01
Phvul.008G243300	3.435E+02	1.233E+02	5.574E+01	1.786E+02	1.628E+02	5.732E+01	9.399E+01	1.817E+02	2.750E+02	1.003E+02	1.686E+02
Phvul.008G243400	1.052E+00	1.449E+00	2.520E+00	1.310E+00	2.080E+00	4.808E+00	9.627E+00	1.681E+00	3.479E+00	5.333E+00	1.102E+01
Phvul.008G243500	6.384E+00	2.150E+00	2.717E-02	1.867E+01	7.973E-01	5.160E-02	7.366E-02	7.131E-01	1.368E+00	1.094E-01	2.876E-01
Phvul.008G243600	2.340E+00	3.458E+00	5.703E+00	2.700E+00	3.064E+00	4.701E+00	5.510E+00	3.379E+00	4.691E+00	4.751E+00	4.766E+00
