TaxonID	3847
Variety	Williams82
Parent_1	Benning (PI 595645)
Parent_2	PI 416937
Title	Identification of QTL for increased fibrous roots in soybean
Root morphology 1-1	Root Morphology
Root morphology 1-2	Root Morphology
Root morphology 1-3	Root Morphology
Root morphology 1-4	Root Morphology
Root morphology 1-5	Root Morphology
