TaxonID	3847
Variety	Williams82
Parent_1	X3145-B-B-3-15
Parent_2	AC Brant
Title	Relationship between asparagine metabolism and protein concentration in soybean seed
Seed protein 31-1	Seed protein content
Seed protein 31-2	Seed protein content
Seed protein 31-3	Seed protein content
Seed protein 31-4	Seed protein content
