TaxonID	3847
Variety	Williams82
Parent_1	Evans
Parent_2	Peking
Journal	Theoretical and Applied Genetics
Year	1996
Volume	93
Pages	234-241
Title	Targeted comparative genome analysis and qualitative mapping of a major partial-resistance gene to the soybean cyst nematode.
SCN 4-4	Reaction to Heterodera glycines
SCN 5-3	Reaction to Heterodera glycines
SCN 6-2	Reaction to Heterodera glycines
SCN 7-1	Reaction to Heterodera glycines
