TaxonID	3847
Variety	Williams82
Parent_1	N97-3708-13
Parent_2	Anand
Title	Molecular Markers Associated with Linolenic Acid in Soybean
Seed linolenic 10-1	Seed linolenic acid content
Seed linolenic 10-2	Seed linolenic acid content
