TaxonID	3847
Variety	Williams82
MappingPopulation	Harosoy_x_Fukuyutaka
Parent	Harosoy
Parent	Fukuyutaka
Journal	Crop Sci.
Year	2010
Volume	50
Pages	1728-1734
Title	A Major QTL Controlling Seed Cadmium Accumulation in Soybean
Seed cadmium 1-1	Seed cadmium concentration
