TaxonID	3847
Variety	Williams82
Parent_1	BSR101
Parent_2	PI437654
Journal	Molecular Breeding
Year	1999
Volume	5
Pages	33-42
Title	Detection of linked QTL for soybean brown stem rot resistance in 'BSR 101' as expressed in a growth chamber environment.
BSR 1-1	Reaction to Phialophora gregata infection
BSR 1-2	Reaction to Phialophora gregata infection
