TaxonID	3847
Variety	Williams82
Parent_1	S99-2281
Parent_2	PI 408105A
Title	Mapping of quantitative trait loci associated with resistance to Phytophthora sojae and flooding tolerance in soybean
Flooding yield index 1-1	Flooding yield index
Flooding yield index 1-2	Flooding yield index
Flooding yield index 1-3	Flooding yield index
Flooding yield index 1-4	Flooding yield index
Phytoph 12-1	Reaction to Phytophthora sojae infection
Phytoph 12-2	Reaction to Phytophthora sojae infection
