TaxonID	3847
Variety	Williams82
Parent_1	Jackson
Parent_2	JWS156-1
Title	Conserved salt tolerance quantitative trait loci (QTL) in wild and cultivated soybeans
Salt tolerance 4-1	Sodium ion sensitivity
Salt tolerance 4-2	Sodium ion sensitivity
