TaxonID	3920
Variety	Williams82
MappingPopulation	Chamame_x_Laco-1
Parent	Chamame
Parent	Laco-1
Journal	Molecular Breeding
Title	Identification of a new fragrance allele in soybean and development of its functional marker
Seed fragrance 2-1	Seed 2AP content
