TaxonID	3920
Variety	Williams82
MappingPopulation	TK780_x_Hidaka4
Parent	TK780
Parent	Hidaka 4
Title	Genetic relationship between lipid content and linolenic acid concentration in soybean seeds
Seed linolenic 9-1	Seed linolenic acid content
Seed linolenic 9-2	Seed linolenic acid content
Seed linolenic 9-3	Seed linolenic acid content
Seed linolenic 9-4	Seed linolenic acid content
Seed oil 32-1	Seed oil content
Seed oil 32-2	Seed oil content
Seed oil 32-3	Seed oil content
