TaxonID	3847
Variety	Williams82
Parent_1	Wyandot
Parent_2	PI 567301B
Title	Genetic mapping revealed two loci for soybean aphid resistance in PI 567301B
Rag 1-1	Reaction to Aphis glycines
Rag 1-2	Reaction to Aphis glycines
