TaxonID	3847
Variety	Williams82
Parent_1	S08-80
Parent_2	PI 464925B
Title	QTL associated with horizontal resistance to soybean cyst nematode in Glycine soja PI464925B
SCN 34-1	Reaction to Heterodera glycines
SCN 34-2	Reaction to Heterodera glycines
SCN 34-3	Reaction to Heterodera glycines
SCN 34-4	Reaction to Heterodera glycines
SCN 34-5	Reaction to Heterodera glycines
