TaxonID	3847
Variety	Williams82
Parent_1	Wilis
Parent_2	Toyokomachi
Title	QTL analysis for resistance to Soybean dwarf virus in Indonesian soybean cultivar Wilis
Indo soy dwarf virus 1-1	Reaction to Indonesian Soybean Dwarf Virus Infection (ISDV)
