TaxonID	3847
Variety	Williams82
Parent_1	Kaori
Parent_2	Chiang Mai 60
Title	A SNP in GmBADH2 gene associates with fragrance in vegetable soybean variety Kaori and SNAP marker development for the fragrance
Seed fragrance 1-1	Seed 2AP content
