TaxonID	3847
Variety	Williams82
Parent_1	S5995
Parent_2	Renascenca
Journal	Pesquisa Agropecuria Brasileira
Title	Validation of microsatellite markers for assisted selection of soybean resistance to cyst nematode races 3 and 14
SCN 47-1	Reaction to Heterodera glycines
SCN 48-1	Reaction to Heterodera glycines
SCN 48-2	Reaction to Heterodera glycines
SCN 48-3	Reaction to Heterodera glycines
