TaxonID	3847
Variety	Williams82
Parent_1	Benning (PI 595645)
Parent_2	PI 416937
Title	Identification of QTLs associated with limited leaf hydraulic conductance in soybean
Drought tolerance 6-1	Drought Tolerance
Drought tolerance 6-2	Drought Tolerance
Drought tolerance 6-3	Drought Tolerance
Drought tolerance 6-4	Drought Tolerance
