TaxonID	3847
Variety	Williams82
Parent_1	KS4895
Parent_2	Jackson
Title	Polygenic inheritance of canopy wilting in soybean
Canopy wilt 1-1	Canopy wilt
Canopy wilt 1-2	Canopy wilt
Canopy wilt 1-3	Canopy wilt
Canopy wilt 1-4	Canopy wilt
