TaxonID	3847
Variety	Williams82
Parent_1	Lineage 69
Parent_2	Tucunare
Journal	Genetics and Molecular Research
Title	QTL mapping of soybean oil content for marker-assisted selection in plant breeding program
Seed oil 44-1	Seed oil content
Seed oil 44-2	Seed oil content
