TaxonID	3847
Variety	Williams82
MappingPopulation	Young_x_PI416937
Parent	Young
Parent	PI416937
Title	Identification, mapping, and confirmation of a soybean gene for bud blight resistance
Tobacco ring spot virus 1-1	Reaction to Tobacco Ringspot Virus Infection (TRSV)
