TaxonID	3847
Variety	Williams82
Parent_1	Pride
Parent_2	A15
Journal	Journal of Plant Nutrition
Year	2000
Volume	23
Pages	1929-1939
Title	Molecular characterization of iron deficiency chlorosis in soybean
Fe effic 11-1	Iron Efficiency
Fe effic 11-2	Iron Efficiency
Fe effic 11-3	Iron Efficiency
Fe effic 12-1	Iron Efficiency
Fe effic 12-2	Iron Efficiency
