TaxonID	3847
Variety	Williams82
Parent_1	V71-370
Parent_2	PI407162
Title	Mapping Quantitative Trait Loci for Partial Resistance to Phytophthora sojae in a Soybean Interspecific Cross
Phytoph 8-1	Reaction to Phytophthora sojae infection
Phytoph 8-2	Reaction to Phytophthora sojae infection
Phytoph 8-3	Reaction to Phytophthora sojae infection
Phytoph 8-4	Reaction to Phytophthora sojae infection
