TaxonID	3847
Variety	Williams82
Parent_1	PI483463
Parent_2	Hutcheson
Title	Genetic mapping of quantitative trait loci conditioning salt tolerance in wild soybean
Salt tolerance 5-1	Sodium ion sensitivity
