TaxonID	3847
Variety	Williams82
Parent_1	Wyandot
Parent_2	PI 567324
Title	Genetic mapping of three quantitative trait loci for soybean aphid resistance in PI 567324
Rag 4-1	Reaction to Aphis glycines
Rag 4-2	Reaction to Aphis glycines
Rag 4-3	Reaction to Aphis glycines
