TaxonID	3847
Variety	Williams82
Parent_1	Dunbar (PI 552538)
Parent_2	G. soja (PI 326582A)
Journal	PLOS ONE
Title	Identification of Novel QTL Governing Root Architectural Traits in an Interspecific Soybean Population
Root density, lateral 3-1	Lateral root number
Root length, primary 4-1	Primary Root Length
Shoot length 1-1	Main Stem Length
Shoot weight, dry 3-1	shoot weight, dry
Shoot weight, dry 3-2	shoot weight, dry
