# This file contains all markers associated with the QTLs courtesy Sassoum Lo, UC-Riverside
TaxonID	3920
2_35646	CPedl5
2_50802	CPedl5
2_51164	CPedl5
2_08186	CPedl5
2_41993	CPedl5
2_43732	CPedl5
2_08187	CPedl5
2_36556	CPedl5
2_35805	CPedl5
2_08346	CPedl5
2_00251	CPedl5
2_00252	CPedl5
2_00253	CPedl5
2_02361	CPedl5
2_02362	CPedl5
2_03672	CPedl5
2_14451	CPedl5
2_14714	CPedl5
2_16914	CPedl5
2_16994	CPedl5
2_21731	CPedl5
2_49658	CPedl5
2_51794	CPedl5
2_21380	CPedl5
2_14450	CPedl5
2_01425	CPedl5
2_16915	CPedl5
2_20415	CPedl5
2_30541	CPedl5
2_30542	CPedl5
2_00374	CPedl5
2_00376	CPedl5
2_24955	CPedl5
2_26663	CPedl5
2_26665	CPedl5
2_28334	CPedl5
2_31189	CPedl5
2_46476	CPedl5
2_49161	CPedl5
2_51076	CPedl5
2_52563	CPedl5
2_20727	CPedl5
2_11115	CPedl5
2_17512	CPedl5
2_19043	CPedl5
2_29947	CPedl5
2_35939	CPedl5
2_39528	CPedl5
2_24439	CPedl5
2_00559	CPedl5
2_02593	CPedl5
2_08848	CPedl5
2_10847	CPedl5
2_48635	CPedl5
2_00777	CPedl5
2_04162	CPedl5
2_04236	CPedl5
2_04237	CPedl5
2_08846	CPedl5
2_08849	CPedl5
2_16081	CPedl5
2_32363	CPedl5
2_04249	CPedl5
2_12332	CPedl5
2_29941	CPedl5
2_46777	CPedl5
2_24068	CPedl5
2_11741	CPedl5
2_28176	CPedl5
2_28822	CPedl5
2_39331	CPedl5
2_48086	CPedl5
2_17848	CPedl5
2_04420	CPedl5
2_04421	CPedl5
2_46988	CPedl5
2_11968	CPedl5
2_28699	CPedl5
2_32601	CPedl5
2_17389	CPedl5
2_27987	CPedl5
2_46151	CPedl5
2_18298	CPedl5
2_34923	CPedl5
2_36477	CPedl5
2_04472	CPedl5
2_23482	CPedl5
2_23709	CPedl5
2_23710	CPedl5
2_24594	CPedl5
2_30702	CPedl5
2_33646	CPedl5
2_34687	CPedl5
2_35726	CPedl5
2_36734	CPedl5
2_47745	CPedl5
2_50377	CPedl5
2_55562	CPedl5
2_03008	CPedl5
2_54920	CPedl5
2_06466	CPedl5
2_10274	CPedl5
2_24593	CPedl5
2_27127	CPedl5
2_36735	CPedl5
2_36989	CPedl5
2_47274	CPedl5
2_52677	CPedl5
2_47977	CPedl5
2_36783	CPedl5
2_37099	CPedl5
2_46418	CPedl5
2_34401	CPedl5
2_13121	CPedl5
2_16503	CPedl5
2_23465	CPedl5
2_43062	CPedl5
2_44889	CPedl5
1_1088	CPedl5
2_31861	CPedl5
2_34724	CPedl5
2_26033	CPedl5
2_35532	CPedl5
2_41333	CPedl5
2_09567	CPedl5
2_25079	CPedl5
2_25080	CPedl5
2_27967	CPedl5
2_35015	CPedl5
2_35399	CPedl5
2_35400	CPedl5
2_37280	CPedl5
2_37780	CPedl5
2_38666	CPedl5
2_08819	CPedl5
2_08820	CPedl5
2_25081	CPedl5
2_27966	CPedl5
2_36604	CPedl5
2_36721	CPedl5
2_38667	CPedl5
2_53167	CPedl5
2_52808	CPedl5
2_26158	CPedl5
2_55508	CPedl5
2_09741	CPedl5
2_20532	CPedl5
2_20533	CPedl5
2_29774	CPedl5
2_35596	CPedl5
2_03999	CPedl5
2_18665	CPedl5
2_36174	CPedl5
2_01204	CPedl5
2_33011	CPedl5
2_35498	CPedl5
2_37219	CPedl5
2_37220	CPedl5
2_53389	CPedl5
2_55467	CPedl5
2_11556	CPedl5
2_29102	CPedl5
2_14896	CPedl5
2_18473	CPedl5
2_50573	CPedl5
2_14892	CPedl5
2_43854	CPedl5
2_53769	CPedl5
2_03980	CPedl5
2_31820	CPedl5
2_32254	CPedl5
2_31821	CPedl5
2_02385	CPedl5
2_29882	CPedl5
1_0222	CPedl5
2_01897	CPedl5
2_03940	CPedl5
2_09611	CPedl5
2_13254	CPedl5
2_13255	CPedl5
2_13525	CPedl5
2_13526	CPedl5
2_19597	CPedl5
2_20225	CPedl5
2_30162	CPedl5
2_30761	CPedl5
2_33054	CPedl5
2_35543	CPedl5
2_05064	CPedl5
2_15213	CPedl5
2_15812	CPedl5
2_28104	CPedl5
2_34123	CPedl5
2_35082	CPedl5
2_35654	CPedl5
2_04641	CFcol7
2_40081	CFcol7
2_06783	CFcol7
2_08961	CFcol7
2_27241	CFcol7
2_30412	CFcol7
2_51922	CFcol7
2_48202	CFcol7
2_22453	CFcol7
2_07322	CFcol7
2_53213	CFcol7
2_37522	CFcol7
2_24322	CFcol7
2_32522	CFcol7
2_45657	CFcol7
2_25171	CFcol7
2_39243	CFcol7
2_32831	CFcol7
2_39620	CFcol7
2_24259	CFcol7
2_19441	CFcol7
2_24258	CFcol7
2_24959	CFcol7
2_30692	CFcol7
2_46029	CFcol7
2_55172	CFcol7
2_12939	CFcol7
2_06975	CFcol7
2_09929	CFcol7
2_09931	CFcol7
2_09932	CFcol7
2_10045	CFcol7
2_18167	CFcol7
2_54104	CFcol7
1_0525	CFcol7
1_1048	CFcol7
2_08507	CFcol7
2_17108	CFcol7
2_51040	CFcol7
2_17109	CFcol7
2_18909	CFcol7
2_52128	CFcol7
2_29617	CFcol7
1_1505	CFcol7
2_01669	CFcol7
2_01670	CFcol7
2_02003	CFcol7
2_04758	CFcol7
2_09638	CFcol7
2_11065	CFcol7
2_14246	CFcol7
2_14821	CFcol7
2_15289	CFcol7
2_23041	CFcol7
2_23529	CFcol7
2_25401	CFcol7
2_27874	CFcol7
2_28707	CFcol7
2_28850	CFcol7
2_28851	CFcol7
2_29618	CFcol7
2_32313	CFcol7
2_34339	CFcol7
2_39112	CFcol7
2_42057	CFcol7
2_47670	CFcol7
2_52141	CFcol7
2_03128	CFcol7
2_09639	CFcol7
2_09761	CFcol7
2_13996	CFcol7
2_13998	CFcol7
2_13999	CFcol7
2_14247	CFcol7
2_18459	CFcol7
2_29608	CFcol7
2_29609	CFcol7
2_46553	CFcol7
2_05143	CFcol7
2_15554	CFcol7
2_29832	CFcol7
2_01939	CFcol7
2_32515	CFcol7
2_34144	CFcol7
2_05144	CFcol7
2_24328	CFcol7
2_04671	CFcol7
2_04673	CFcol7
2_14829	CFcol7
2_14830	CFcol7
2_49087	CFcol7
2_50717	CFcol7
2_29624	CFcol7
1_0934	CFcol7
2_35471	CFcol7
2_37031	CFcol7
2_19103	CFcol7
2_24687	CFcol7
2_24688	CFcol7
2_36976	CFcol7
2_39983	CFcol7
2_46429	CFcol7
2_32469	CFcol7
2_06543	CFcol7
2_06544	CFcol7
2_00815	CFcol7
2_00816	CFcol7
2_06580	CFcol7
2_06582	CFcol7
2_06629	CFcol7
2_08972	CFcol7
2_19573	CFcol7
2_41543	CFcol7
2_43619	CFcol7
2_46971	CFcol7
2_48458	CFcol7
2_42002	CFcol7
2_05798	CFcol7
2_00636	CFcol7
2_02376	CFcol7
2_05211	CFcol7
2_05799	CFcol7
2_09582	CFcol7
2_11590	CFcol7
2_26176	CFcol7
2_26671	CFcol7
2_50444	CFcol7
2_53395	CFcol7
2_00635	CFcol7
2_51928	CFcol7
2_20222	CFcol7
2_40026	CFcol7
1_0219	CFcol7
2_06581	CFcol7
2_07765	CFcol7
2_08226	CFcol7
2_08227	CFcol7
2_24957	CFcol7
2_54364	CFcol7
2_06242	CFcol7
2_06243	CFcol7
2_11589	CFcol7
2_36359	CFcol7
2_52579	CFcol7
2_40455	CFcol7
2_17071	CFcol7
2_22996	CFcol7
2_26797	CFcol7
2_51889	CFcol7
2_00405	CFcol7
2_03431	CFcol7
2_12186	CFcol7
2_17999	CFcol7
2_19077	CFcol7
2_21559	CFcol7
2_45933	CFcol7
2_43434	CFcol7
1_1059	CFcol7
2_43817	CFcol7
2_47492	CFcol7
1_1096	CFcol7
